0	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	1	1.1	1.2	1.3	1.4	1.5	1.6	1.7	1.8	1.9	2	2.1	2.2	2.3	2.4	2.5	2.6	2.7	2.8	2.9	3	3.1	3.2	3.3	3.4	3.5	3.6	3.7	3.8	3.9	4	4.1	4.2	4.3	4.4	4.5	4.6	4.7	4.8	4.9	5	5.1	5.2	5.3	5.4	5.5	5.6	5.7	5.8	5.9	6	6.1	6.2	6.3	6.4	6.5	6.6	6.7	6.8	6.9	7	7.1	7.2	7.3	7.4	7.5	7.6	7.7	7.8	7.9	8	8.1	8.2	8.3	8.4	8.5	8.6	8.7	8.8	8.9	9	9.1	9.2	9.3	9.4	9.5	9.6	9.7	9.8	9.9
0.1	0.001	0.104	0.209	0.316	0.425	0.536	0.649	0.764	0.881	1	1.121	1.244	1.369	1.496	1.625	1.756	1.889	2.024	2.161	2.3	2.441	2.584	2.729	2.876	3.025	3.176	3.329	3.484	3.641	3.8	3.961	4.124	4.289	4.456	4.625	4.796	4.969	5.144	5.321	5.5	5.681	5.864	6.049	6.236	6.425	6.616	6.809	7.004	7.201	7.4	7.601	7.804	8.009	8.216	8.425	8.636	8.849	9.064	9.281	9.5	9.721	9.944	10.169	10.396	10.625	10.856	11.089	11.324	11.561	11.8	12.041	12.284	12.529	12.776	13.025	13.276	13.529	13.784	14.041	14.3	14.561	14.824	15.089	15.356	15.625	15.896	16.169	16.444	16.721	17	17.281	17.564	17.849	18.136	18.425	18.716	19.009	19.304	19.601
0.2	0.102	0.009	0.122	0.241	0.366	0.497	0.634	0.777	0.926	1.081	1.242	1.409	1.582	1.761	1.946	2.137	2.334	2.537	2.746	2.961	3.182	3.409	3.642	3.881	4.126	4.377	4.634	4.897	5.166	5.441	5.722	6.009	6.302	6.601	6.906	7.217	7.534	7.857	8.186	8.521	8.862	9.209	9.562	9.921	10.286	10.657	11.034	11.417	11.806	12.201	12.602	13.009	13.422	13.841	14.266	14.697	15.134	15.577	16.026	16.481	16.942	17.409	17.882	18.361	18.846	19.337	19.834	20.337	20.846	21.361	21.882	22.409	22.942	23.481	24.026	24.577	25.134	25.697	26.266	26.841	27.422	28.009	28.602	29.201	29.806	30.417	31.034	31.657	32.286	32.921	33.562	34.209	34.862	35.521	36.186	36.857	37.534	38.217	38.906
0.3	0.203	0.114	0.036	0.17	0.316	0.474	0.644	0.826	1.02	1.226	1.444	1.674	1.916	2.17	2.436	2.714	3.004	3.306	3.62	3.946	4.284	4.634	4.996	5.37	5.756	6.154	6.564	6.986	7.42	7.866	8.324	8.794	9.276	9.77	10.276	10.794	11.324	11.866	12.42	12.986	13.564	14.154	14.756	15.37	15.996	16.634	17.284	17.946	18.62	19.306	20.004	20.714	21.436	22.17	22.916	23.674	24.444	25.226	26.02	26.826	27.644	28.474	29.316	30.17	31.036	31.914	32.804	33.706	34.62	35.546	36.484	37.434	38.396	39.37	40.356	41.354	42.364	43.386	44.42	45.466	46.524	47.594	48.676	49.77	50.876	51.994	53.124	54.266	55.42	56.586	57.764	58.954	60.156	61.37	62.596	63.834	65.084	66.346	67.62
0.4	0.304	0.219	0.15	0.1	0.27	0.46	0.67	0.9	1.15	1.42	1.71	2.02	2.35	2.7	3.07	3.46	3.87	4.3	4.75	5.22	5.71	6.22	6.75	7.3	7.87	8.46	9.07	9.7	10.35	11.02	11.71	12.42	13.15	13.9	14.67	15.46	16.27	17.1	17.95	18.82	19.71	20.62	21.55	22.5	23.47	24.46	25.47	26.5	27.55	28.62	29.71	30.82	31.95	33.1	34.27	35.46	36.67	37.9	39.15	40.42	41.71	43.02	44.35	45.7	47.07	48.46	49.87	51.3	52.75	54.22	55.71	57.22	58.75	60.3	61.87	63.46	65.07	66.7	68.35	70.02	71.71	73.42	75.15	76.9	78.67	80.46	82.27	84.1	85.95	87.82	89.71	91.62	93.55	95.5	97.47	99.46	101.47	103.5	105.55
0.5	0.405	0.324	0.264	0.23	0.225	0.45	0.705	0.99	1.305	1.65	2.025	2.43	2.865	3.33	3.825	4.35	4.905	5.49	6.105	6.75	7.425	8.13	8.865	9.63	10.425	11.25	12.105	12.99	13.905	14.85	15.825	16.83	17.865	18.93	20.025	21.15	22.305	23.49	24.705	25.95	27.225	28.53	29.865	31.23	32.625	34.05	35.505	36.99	38.505	40.05	41.625	43.23	44.865	46.53	48.225	49.95	51.705	53.49	55.305	57.15	59.025	60.93	62.865	64.83	66.825	68.85	70.905	72.99	75.105	77.25	79.425	81.63	83.865	86.13	88.425	90.75	93.105	95.49	97.905	100.35	102.825	105.33	107.865	110.43	113.025	115.65	118.305	120.99	123.705	126.45	129.225	132.03	134.865	137.73	140.625	143.55	146.505	149.49	152.505
0.6	0.506	0.429	0.378	0.36	0.38	0.441	0.744	1.089	1.476	1.905	2.376	2.889	3.444	4.041	4.68	5.361	6.084	6.849	7.656	8.505	9.396	10.329	11.304	12.321	13.38	14.481	15.624	16.809	18.036	19.305	20.616	21.969	23.364	24.801	26.28	27.801	29.364	30.969	32.616	34.305	36.036	37.809	39.624	41.481	43.38	45.321	47.304	49.329	51.396	53.505	55.656	57.849	60.084	62.361	64.68	67.041	69.444	71.889	74.376	76.905	79.476	82.089	84.744	87.441	90.18	92.961	95.784	98.649	101.556	104.505	107.496	110.529	113.604	116.721	119.88	123.081	126.324	129.609	132.936	136.305	139.716	143.169	146.664	150.201	153.78	157.401	161.064	164.769	168.516	172.305	176.136	180.009	183.924	187.881	191.88	195.921	200.004	204.129	208.296
0.7	0.607	0.534	0.492	0.49	0.535	0.632	0.784	1.192	1.656	2.176	2.752	3.384	4.072	4.816	5.616	6.472	7.384	8.352	9.376	10.456	11.592	12.784	14.032	15.336	16.696	18.112	19.584	21.112	22.696	24.336	26.032	27.784	29.592	31.456	33.376	35.352	37.384	39.472	41.616	43.816	46.072	48.384	50.752	53.176	55.656	58.192	60.784	63.432	66.136	68.896	71.712	74.584	77.512	80.496	83.536	86.632	89.784	92.992	96.256	99.576	102.952	106.384	109.872	113.416	117.016	120.672	124.384	128.152	131.976	135.856	139.792	143.784	147.832	151.936	156.096	160.312	164.584	168.912	173.296	177.736	182.232	186.784	191.392	196.056	200.776	205.552	210.384	215.272	220.216	225.216	230.272	235.384	240.552	245.776	251.056	256.392	261.784	267.232	272.736
0.8	0.708	0.639	0.606	0.62	0.69	0.823	1.024	1.296	1.84	2.456	3.144	3.904	4.736	5.64	6.616	7.664	8.784	9.976	11.24	12.576	13.984	15.464	17.016	18.64	20.336	22.104	23.944	25.856	27.84	29.896	32.024	34.224	36.496	38.84	41.256	43.744	46.304	48.936	51.64	54.416	57.264	60.184	63.176	66.24	69.376	72.584	75.864	79.216	82.64	86.136	89.704	93.344	97.056	100.84	104.696	108.624	112.624	116.696	120.84	125.056	129.344	133.704	138.136	142.64	147.216	151.864	156.584	161.376	166.24	171.176	176.184	181.264	186.416	191.64	196.936	202.304	207.744	213.256	218.84	224.496	230.224	236.024	241.896	247.84	253.856	259.944	266.104	272.336	278.64	285.016	291.464	297.984	304.576	311.24	317.976	324.784	331.664	338.616	345.64
0.9	0.809	0.744	0.72	0.75	0.845	1.014	1.264	1.6	2.025	2.74	3.545	4.44	5.425	6.5	7.665	8.92	10.265	11.7	13.225	14.84	16.545	18.34	20.225	22.2	24.265	26.42	28.665	31	33.425	35.94	38.545	41.24	44.025	46.9	49.865	52.92	56.065	59.3	62.625	66.04	69.545	73.14	76.825	80.6	84.465	88.42	92.465	96.6	100.825	105.14	109.545	114.04	118.625	123.3	128.065	132.92	137.865	142.9	148.025	153.24	158.545	163.94	169.425	175	180.665	186.42	192.265	198.2	204.225	210.34	216.545	222.84	229.225	235.7	242.265	248.92	255.665	262.5	269.425	276.44	283.545	290.74	298.025	305.4	312.865	320.42	328.065	335.8	343.625	351.54	359.545	367.64	375.825	384.1	392.465	400.92	409.465	418.1	426.825
